3,5,6,4,2,1,7
3,6,5,4,2,1,7
3,4,6,5,2,1,7
3,4,5,6,2,1,7
3,6,4,5,2,1,7
3,5,4,6,2,1,7
4,5,6,3,2,1,7
4,6,5,3,2,1,7
5,6,4,3,2,1,7
4,6,3,5,2,1,7
4,5,3,6,2,1,7
5,6,3,4,2,1,7
2,5,6,4,3,1,7
2,6,5,4,3,1,7
2,4,6,5,3,1,7
2,4,5,6,3,1,7
2,6,4,5,3,1,7
2,5,4,6,3,1,7
2,5,6,3,4,1,7
2,6,5,3,4,1,7
2,4,6,3,5,1,7
2,4,5,3,6,1,7
2,6,4,3,5,1,7
2,5,4,3,6,1,7
2,3,6,5,4,1,7
2,3,5,6,4,1,7
2,3,6,4,5,1,7
2,3,5,4,6,1,7
2,3,4,6,5,1,7
2,3,4,5,6,1,7
2,6,3,5,4,1,7
2,5,3,6,4,1,7
2,6,3,4,5,1,7
2,5,3,4,6,1,7
2,4,3,6,5,1,7
2,4,3,5,6,1,7
4,5,6,2,3,1,7
4,6,5,2,3,1,7
5,6,4,2,3,1,7
3,5,6,2,4,1,7
3,6,5,2,4,1,7
3,4,6,2,5,1,7
3,4,5,2,6,1,7
3,6,4,2,5,1,7
3,5,4,2,6,1,7
5,6,3,2,4,1,7
4,6,3,2,5,1,7
4,5,3,2,6,1,7
4,6,2,5,3,1,7
4,5,2,6,3,1,7
5,6,2,4,3,1,7
3,6,2,5,4,1,7
3,5,2,6,4,1,7
3,6,2,4,5,1,7
3,5,2,4,6,1,7
3,4,2,6,5,1,7
3,4,2,5,6,1,7
5,6,2,3,4,1,7
4,6,2,3,5,1,7
4,5,2,3,6,1,7
