1,3,4,5,7,6,2
1,3,6,5,7,4,2
1,3,4,2,7,5,6
1,2,5,3,4,7,6
1,2,3,5,7,6,4
1,2,3,5,7,4,6
1,3,6,5,7,2,4
2,5,6,3,4,7,1
2,5,7,3,4,6,1
2,5,7,1,4,3,6
4,5,7,1,3,6,2
5,6,7,1,3,4,2
